"declarationDate","state","placeCode","disasterNumber","title"
"2015-05-21T19:30:00 -04:00","WV",99073,4221,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"
"2015-02-03T17:00:00 -05:00","VT",99019,4207,"SEVERE WINTER STORM"
"2015-02-03T17:00:00 -05:00","VT",99021,4207,"SEVERE WINTER STORM"
"2015-02-03T17:00:00 -05:00","VT",99009,4207,"SEVERE WINTER STORM"
"2015-02-03T17:00:00 -05:00","VT",99011,4207,"SEVERE WINTER STORM"
"2015-02-03T17:00:00 -05:00","VT",99023,4207,"SEVERE WINTER STORM"
"2015-02-03T17:00:00 -05:00","VT",99015,4207,"SEVERE WINTER STORM"
"2015-02-03T17:00:00 -05:00","VT",99027,4207,"SEVERE WINTER STORM"
"2013-11-26T18:08:00 -05:00","IL",99051,4157,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES"
"2014-03-06T18:00:00 -05:00","GA",99033,4165,"SEVERE WINTER STORM"
"2014-03-06T18:00:00 -05:00","GA",99121,4165,"SEVERE WINTER STORM"
"2014-03-06T18:00:00 -05:00","GA",99077,4165,"SEVERE WINTER STORM"
"2013-12-20T11:30:00 -05:00","TX",99161,4159,"SEVERE STORMS AND FLOODING"
"2014-03-06T18:00:00 -05:00","GA",99167,4165,"SEVERE WINTER STORM"
"2014-03-06T18:00:00 -05:00","GA",99231,4165,"SEVERE WINTER STORM"
"2014-03-06T18:00:00 -05:00","GA",99289,4165,"SEVERE WINTER STORM"
"2014-04-17T11:43:00 -04:00","MT",99081,4172,"ICE JAMS AND FLOODING"
"2014-04-22T09:28:00 -04:00","IN",99113,4173,"SEVERE WINTER STORM AND SNOWSTORM"
"2014-04-17T11:43:00 -04:00","MT",99107,4172,"ICE JAMS AND FLOODING"
"2014-04-22T09:28:00 -04:00","IN",99159,4173,"SEVERE WINTER STORM AND SNOWSTORM"
"2014-04-30T20:40:00 -04:00","MS",99101,4175,"SEVERE STORMS, TORNADOES, AND FLOODING"
"2014-04-17T11:43:00 -04:00","MT",99047,4172,"ICE JAMS AND FLOODING"
"2014-04-22T09:28:00 -04:00","IN",99095,4173,"SEVERE WINTER STORM AND SNOWSTORM"
"2014-03-31T13:45:00 -04:00","NC",99001,4167,"SEVERE WINTER STORM"
"2014-04-22T09:28:00 -04:00","IN",99023,4173,"SEVERE WINTER STORM AND SNOWSTORM"
"2014-04-22T09:28:00 -04:00","IN",99183,4173,"SEVERE WINTER STORM AND SNOWSTORM"
"2014-04-30T20:40:00 -04:00","MS",99159,4175,"SEVERE STORMS, TORNADOES, AND FLOODING"
"2014-05-06T18:30:00 -04:00","FL",99059,4177,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-05-02T21:45:00 -04:00","AL",99125,4176,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-07-08T12:15:00 -04:00","NY",99051,4180,"SEVERE STORMS AND FLOODING"
"2014-03-31T13:45:00 -04:00","NC",99081,4167,"SEVERE WINTER STORM"
"2014-07-14T12:17:00 -04:00","IA",99155,4181,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-07-21T15:29:00 -04:00","MN",99105,4182,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"
"2014-07-24T10:45:00 -04:00","NE",99083,4183,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-07-21T15:29:00 -04:00","MN",99127,4182,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"
"2014-07-21T15:29:00 -04:00","MN",99039,4182,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"
"2014-07-21T15:29:00 -04:00","MN",99139,4182,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"
"2014-07-24T09:48:00 -04:00","IA",99035,4184,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-07-21T15:29:00 -04:00","MN",99071,4182,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"
"2014-07-24T09:48:00 -04:00","IA",99151,4184,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-04-22T09:28:00 -04:00","IN",99073,4173,"SEVERE WINTER STORM AND SNOWSTORM"
"2014-05-06T18:30:00 -04:00","FL",99133,4177,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-07-14T12:17:00 -04:00","IA",99003,4181,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-07-21T15:29:00 -04:00","MN",99089,4182,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"
"2014-07-28T11:02:00 -04:00","NE",99143,4185,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-07-24T10:45:00 -04:00","NE",99039,4183,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-07-24T09:48:00 -04:00","IA",99109,4184,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-08-05T16:08:00 -04:00","IA",99099,4187,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-08-13T17:35:00 -04:00","TN",99083,4189,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
